,cost,final_depths,final_filling
0,73454.91882933315,2.3569225820212063,0.08127319248348987
1,73454.91882933315,1.5674287371634037,0.05331390262460557
2,73454.91882933315,2.4843821866736504,0.07505686364572961
3,73454.91882933315,2.4677236574474137,0.05141090953015445
4,73454.91882933315,1.9762575438387335,0.03593195534252243
5,73454.91882933315,1.8025849559406266,0.03433495154172622
6,73454.91882933315,1.9055031892381433,0.041787350641187354
7,73454.91882933315,1.102706728784184,0.026764726426800584
8,73454.91882933315,2.5452357518766338,0.05485421879044469
9,73454.91882933315,0.7982834014485436,0.03485953718115911
10,73454.91882933315,2.5421093337636593,0.08796226068386365
