,cost,final_depths,final_filling
0,4191.218734743893,0.06,0.01
1,4191.218734743893,0.04,0.01
2,4191.218734743893,0.04,0.01
3,4191.218734743893,0.05,0.01
4,4191.218734743893,0.04,0.01
5,4191.218734743893,0.0,0.0
6,4191.218734743893,0.0,0.0
7,4191.218734743893,0.0,0.0
8,4191.218734743893,0.01,0.0
9,4191.218734743893,0.05,0.0
10,4191.218734743893,0.01,0.0
11,4191.218734743893,0.01,0.0
12,4191.218734743893,0.0,0.0
13,4191.218734743893,0.0,0.0
14,4191.218734743893,5.0,0.42
15,4191.218734743893,0.0,0.0
16,4191.218734743893,0.0,0.0
