,cost,final_depths,final_filling
0,4205.730739811559,0.06,0.01
1,4205.730739811559,0.04,0.01
2,4205.730739811559,0.04,0.01
3,4205.730739811559,0.05,0.01
4,4205.730739811559,0.04,0.01
5,4205.730739811559,0.0,0.0
6,4205.730739811559,0.0,0.0
7,4205.730739811559,0.0,0.0
8,4205.730739811559,0.01,0.0
9,4205.730739811559,0.05,0.0
10,4205.730739811559,0.01,0.0
11,4205.730739811559,0.01,0.0
12,4205.730739811559,0.0,0.0
13,4205.730739811559,0.0,0.0
14,4205.730739811559,5.0,0.42
15,4205.730739811559,0.0,0.0
16,4205.730739811559,0.0,0.0
