,cost,final_depths,final_filling
0,7577.451865142246,0.06,0.01
1,7577.451865142246,0.04,0.01
2,7577.451865142246,0.04,0.01
3,7577.451865142246,0.05,0.01
4,7577.451865142246,0.04,0.01
5,7577.451865142246,0.0,0.0
6,7577.451865142246,0.0,0.0
7,7577.451865142246,0.0,0.0
8,7577.451865142246,0.01,0.0
9,7577.451865142246,0.05,0.0
10,7577.451865142246,0.01,0.0
11,7577.451865142246,0.01,0.0
12,7577.451865142246,0.0,0.0
13,7577.451865142246,0.0,0.0
14,7577.451865142246,5.0,0.42
15,7577.451865142246,0.0,0.0
16,7577.451865142246,0.0,0.0
